restaurantID,rating_y,average sentiments
7ta8vOMX7bvuQCtioRHuIA,4.035714285714286,positive
7xpf5VhK73NN3gcb4gbMCA,3.5354330708661417,positive
7y0PNSJwGNuwDq7iPjjBBw,3.333333333333333,negative
7zXVHfCWPnoAgU2pEbaazQ,3.7692307692307687,positive
8-_t8OMafccw4uzFq6ltfQ,1.0,negative
805Eet98d1iYxSUIpqnYbA,4.0,positive
80M6LKNBX8l34n-UeueZ8w,3.1666666666666665,negative
825fYVYc196vM4V3XQbXSA,5.0,negative
83ybpCKUqLTVjSbfpPq-dQ,5.0,negative
84uHsT47dc-nKnlsT3YAzA,5.0,positive
86ujmqHxC3u-jrXxg9ePwg,5.0,positive
87NieBdwm_Z2rQuChErmbQ,1.0,negative
87zNcTQbHJ43C5YOkYQeSw,5.0,positive
891gUiFELRryVB_j97cr4Q,5.0,negative
8BXbNpuPz_WR92_LE8V8kQ,4.4,positive
8C7chv8xmQklcl-7okaN8w,2.75,negative
8ENIpQXOYBrV7mAhP8rCYA,4.5,negative
8FHG3LVCCwCQuD95WSNrCw,3.0,positive
8HKsbnZ231AcgDKH6ZQKtg,3.5517241379310347,positive
8KYXbJHqrlpHIcB1JWkljg,4.0,positive
8Khhqj5KQrlUrH1_3jD_3w,5.0,negative
8Nprgtjrb56b69W10bs4MQ,3.0,negative
8Pgml94L3h-_SKq1quxdcw,2.0476190476190474,negative
8S-ZArRn-2ppHxQUZtq_0w,2.833333333333333,negative
8TDj7HZT-yEovugPgOFUYg,5.0,negative
8WAT1ttmwJRZG3KQuv7FKQ,1.4,negative
8aOXUV6gzjvoPoqYpvnKKw,3.0,positive
8abTVgcVxYL8jrDfqxXvAA,3.2222222222222223,positive
8cPOGkYpvg1-u1gBN85khg,3.8,positive
8cuL_nyzLAU4gQYHjomO_Q,3.5,positive
8dtiiOaVA9tCyd3nL6G5Dw,4.0,positive
8eOkjYj7qvswGQMQiUQw6w,4.5,positive
8eW79e-GQYMtSbWIUHMq-w,5.0,negative
8haIm79n-iHKyOevxfBejA,1.0,negative
8iUeKAAImz36gre89sCxkw,5.0,positive
8jQMdOnX8ACRbMwJbSoXAg,5.0,positive
8kSbc9R-X1syG90E1eu8JA,5.0,positive
8p2TNg1jXZ26jOTbYa8OjA,3.421052631578948,positive
8q7QJz5JHkdwwSNNCJ2wAg,5.0,positive
8qzvBdw36Yse48BJFXe7fg,3.0384615384615383,negative
8u3CpsSHQD3ek3rwLVi5eA,3.0,negative
8unbzoMwSb-Quu27qMOvfQ,1.0,positive
8vIm1ew3JMD_duXa9tP-Dg,2.0,negative
8x4UAc6VKtXoKi6ta3G_xA,5.0,positive
8xGzvcmrZ5EJBOKylpsslw,1.0,negative
8z4pkwkjYh1J6EQz1iULVA,3.3720930232558137,positive
90asHUAxcCffrGeQiase4Q,5.0,negative
92mM32eP2qYM8y2jRZCWOg,5.0,positive
9BjukqFI9B9zVZxXXHz4qA,4.0,positive
9BzX8uv427cJmyAnLxwIHA,4.0,negative
9GdFbohrbQqMCDWxVjtocg,2.25,negative
9Gsa_b43Qh-qDysVRo0rWQ,5.0,positive
9H3Udc6CHiPEwZlKfi0oQw,1.0,negative
9HT6DKLyW8oT02C1oa3iFQ,1.0,negative
9I-yCF4DJiGzt0NKvweREA,3.4838709677419355,positive
9IHXW2vB6KzGJFsKTLmdBg,4.0,positive
9LaA6_oGpgHCJWhlAkbnIw,3.493333333333333,negative
9MOI2_Pbjv2F3JlN7qWjZQ,5.0,negative
9ONbcN5_q9ZDm6NbWhPaTg,3.6666666666666665,negative
9VD-gk03Y8qVzHk-nD_okA,5.0,positive
9WKxCeM-I9S3alAqiluuOg,5.0,positive
9YbKIecs-KygRtRtDW7rBw,3.6666666666666665,positive
9YnVF13uevZvUO_kFCTKpQ,5.0,positive
9aNhmG7vomv0uIgbbnvHJg,4.333333333333333,positive
9eOL3a9QfKKyMmi0at73lQ,3.7142857142857135,negative
9htt8fKKKG07eBPszNMg4A,3.918367346938776,positive
9iUP4RolI-vmHLImZIvcGQ,3.0,negative
9mXXLyWZHB6GrXP02rjImw,4.045454545454546,positive
9oDWR41ZeUFAvOWCiEglCQ,1.5,negative
9qjhVmuL-fMLnf0Y0u3r_Q,5.0,positive
9w3eu3ra1HPLz_8REiFjNw,2.0,positive
9zFTM8ZCFAyYIcF6zEiA9w,5.0,positive
A1JZZ8F5hg6F0cGsxIXipg,3.1728395061728394,positive
A48lL3cEF1q8tz5STNvH2w,3.0,positive
A5K2m7FwuUU27lHyAwjGXA,4.236363636363636,positive
A9tAJqtGcIhmT7mz4hmGmQ,3.5,negative
A9wblr25wvwG_KYBdR9Xtg,3.5,positive
ABV1Ow2DMdBZAHVz5RrcOw,5.0,positive
AC6Ih0RX3CrhSfpGDRYV-A,1.5,negative
ADvyx_tqnESKuKEfowgzyg,3.1666666666666665,negative
AEE88otvh7TEo0v-JuAhtg,3.625,positive
AJc7NES7-nHIkyfS7HN5Jw,5.0,positive
AKDAaTltww4U-GYY_WaQ6g,5.0,positive
ALKBiAyUhOsyZL1_o1nEEg,4.0,positive
AN6mxfLVu4_Juc-75_O55A,4.0,positive
ANuM4Ymv6mRmfNwnkDVL5A,3.0,positive
AO83FW-KEkwzxC0YcvGO1w,3.733333333333333,positive
AOQCDXY5KOkPd9-OCYgrug,4.0,negative
AS8V9HVQ-DhTomXCKPMWfw,5.0,negative
ATIGFlDUYo9QRruh-o8GIw,5.0,negative
ATzRpvcNVnIKUOfoXkX2Fw,4.0,positive
AY--QU6jfbG89V-4M6hzxg,2.0,negative
AYdOe36tYzKHglzisR88Qw,2.6666666666666665,negative
AaVl-ga8xOWAUCDGSYjdgA,3.5294117647058822,positive
AaitOffa8IQQPjiOvKzjBA,5.0,negative
Aatx2OTJh2XFWcnNP0LQ1A,2.0,negative
Abdu_0BgWWNtXSa1IXEGjw,5.0,positive
Ac62XmrbvgRkS_FIa_C-Dg,3.1428571428571432,negative
Ac6XpH8gKVuQs0VXh_BZIQ,5.0,positive
Ad46pgx55ijgn-JsJs8MFg,5.0,negative
AgN30Sf7VIRuicScI7Vc9A,3.5,positive
AhO_v_j3bRcSYu2KwmfEtA,1.0,positive
AjixnGg8zNKIPdWuwJAJKw,3.466666666666667,positive
Ak-f3cW7ItymqNj2MAlWCA,1.875,negative
AkcZ1fUyB3RocKLYGFu20Q,4.680473372781066,positive
AkgXz0d5vVhdEOk5PAcZoA,2.0,negative
Aq3ED5k8GzRyNELKBI85nA,2.6666666666666665,negative
ArT0vbIky7FvWFpPoIerEw,3.397058823529412,positive
AwvUAybgcaxjmy5GeYSvMQ,3.0,positive
Ay1HGCfMznzki1Xg1IePLA,3.6875,negative
B2Wgw3j602wu9o1bbdXQNg,2.0,negative
B38i592DxtgqOC3-n7bP1A,3.696969696969697,negative
B7KHPOGd7bKtZUXzTS8kKg,4.4324324324324325,positive
B8scdkaVSwnWeqORgLPhVA,4.0,positive
B969YTWurpHafrUMazMZxw,4.0,positive
