Year,Business Type,Business Name,address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#On Premises
2001,Restaurant,Chickadilly's Charhouse,176 n franklin st ,False,False,BATTERY,1341,391,1
2001,Restaurant,Billy Goat Tavern & Grill,330 s wells st ,True,False,THEFT,1317,221,7
2001,Restaurant,Lai Lai Oriental Express,330 s wells st ,False,False,THEFT,1317,221,7
2001,Restaurant,Chen's Chinese Express,201 n clark st ,False,False,BATTERY,1311,389,2
2001,Restaurant,Toro Sushi Express,201 n clark st ,False,False,BATTERY,1311,389,2
2001,Restaurant,Green Apple,201 n clark st ,False,False,BATTERY,1311,389,2
2001,Restaurant,Jaffa Bakery,201 n clark st ,False,False,BATTERY,1311,389,2
2001,Restaurant,Mixed Greens,223 w lake st ,False,False,BATTERY,1309,388,2
2001,Restaurant,Salad Spinners,223 w lake st ,False,False,BATTERY,1309,388,2
2001,Restaurant,Tokyo Lunch Boxes & Catering,111 e wacker dr ,False,False,THEFT,1303,125,6
2001,Restaurant,Americana Submarine,400 s clark st ,True,False,THEFT,1274,180,3
2001,Restaurant,Coco's Famous Deep Fried Lobster,426 s clark st ,False,False,THEFT,1274,180,3
2001,Restaurant,Shark's Fish & Chicken,420 s clark st ,False,False,THEFT,1274,180,3
2001,Restaurant,Micky's Chicken & Fish,408 s clark st ,False,False,THEFT,1274,180,3
2001,Restaurant,Nicola's Pizzeria,400 s financial pl ,False,False,THEFT,1266,183,1
2001,Restaurant,Bionda To Go,400 s financial pl ,False,False,THEFT,1266,183,1
2001,Restaurant,Finkls Deli,400 s financial pl ,False,False,THEFT,1266,183,1
2001,Restaurant,Skrine Chops,400 s financial pl ,False,False,THEFT,1266,183,1
2001,Restaurant,Freshii,311 s wacker dr ,False,False,THEFT,1262,197,6
2001,Restaurant,Pazzo's @ 311,311 s wacker dr ,False,False,THEFT,1262,197,6
2001,Restaurant,Custom House Tavern,500 s dearborn st ,False,True,THEFT,1233,168,5
2001,Restaurant,Potbelly's Sandwich Works,542 s dearborn st ,False,False,THEFT,1233,168,5
2001,Restaurant,Chen's Chinese Express,201 n clark st ,False,False,THEFT,1197,116,6
2001,Restaurant,Toro Sushi Express,201 n clark st ,False,False,THEFT,1197,116,6
2001,Restaurant,Green Apple,201 n clark st ,False,False,THEFT,1197,116,6
2001,Restaurant,Jaffa Bakery,201 n clark st ,False,False,THEFT,1197,116,6
2001,Restaurant,Trattoria Caterina,616 s dearborn st ,False,False,THEFT,1183,161,5
2001,Restaurant,Standing Room Only,610 s dearborn st ,False,False,THEFT,1183,161,5
2001,Restaurant,Amarit Thai Restaurant,600 s dearborn st ,False,False,THEFT,1183,161,5
2001,Restaurant,Taste of Siam Inc,600 s dearborn st ,False,False,THEFT,1183,161,5
2001,Restaurant,Rosie's Cafe & Catering,111 n canal st ,False,False,THEFT,1166,114,6
2001,Grocery,Urban Pantry,730 s clark st ,True,False,BATTERY,1158,265,1
2001,Restaurant,Taza,176 n franklin st ,False,False,THEFT,1152,108,14
2001,Restaurant,Dagwood's Sandwich Factory,162 n franklin st ,False,False,THEFT,1152,108,14
2001,Restaurant,Goodwin's,175 n franklin st ,False,False,THEFT,1152,108,14
2001,Restaurant,Chickadilly's Charhouse,176 n franklin st ,False,False,THEFT,1152,108,14
2001,Restaurant,Mixed Greens,223 w lake st ,False,False,THEFT,1138,108,3
2001,Restaurant,Salad Spinners,223 w lake st ,False,False,THEFT,1138,108,3
2001,Restaurant,Estelle's Kitchens,305 w lake st ,False,False,THEFT,1122,106,4
2001,Restaurant,Pat's Pizzeria,628 s clark st ,False,False,THEFT,1119,152,5
2001,Restaurant,Villains Bar and Grill,649 s clark st ,False,False,THEFT,1119,152,5
2001,Restaurant,Palm Restaurant,323 e wacker dr ,True,False,BATTERY,1113,345,2
2001,Restaurant,Oriental Express,233 e wacker dr ,False,False,BATTERY,1063,336,2
2001,Restaurant,Tokyo Lunch Boxes & Catering,111 e wacker dr ,False,False,BATTERY,1056,331,5
2001,Restaurant,Hackney's Printers' Row,733 s dearborn st ,False,False,THEFT,1042,133,9
2001,Restaurant,Pret A Manger,211 w adams st ,False,False,CRIMINAL DAMAGE,1042,120,3
2001,Restaurant,Flaco's Tacos,725 s dearborn st ,False,True,THEFT,1042,133,9
2001,Restaurant,Sopraffina Marketcaffe,222 w adams st ,False,False,CRIMINAL DAMAGE,1042,120,3
2001,Restaurant,Cafe Mediterra,728 s dearborn st ,False,False,THEFT,1042,133,9
2001,Restaurant,Sbarro,211 w adams st ,False,False,CRIMINAL DAMAGE,1042,120,3
2001,Restaurant,Tokyo Lunch Boxes & Catering,111 e wacker dr ,False,False,NARCOTICS,1040,1766,1
2001,Restaurant,Native Foods Cafe,218 s clark st ,False,False,CRIMINAL DAMAGE,1036,126,2
2001,Restaurant,Subway,125 s clark st ,False,False,CRIMINAL DAMAGE,1023,118,1
2001,Restaurant,Spa Cafe,112 w monroe st ,False,False,CRIMINAL DAMAGE,1017,110,3
2001,Restaurant,I Dream of Falafel,112 w monroe st ,False,False,CRIMINAL DAMAGE,1017,110,3
2001,Grocery,Urban Pantry,730 s clark st ,True,False,THEFT,1016,130,7
2001,Restaurant,Caffe Baci,225 w wacker dr ,False,False,THEFT,1003,78,7
2001,Restaurant,Cosi,230 w monroe st ,False,False,CRIMINAL DAMAGE,1003,109,3
2001,Restaurant,Bon Appetit,227 w monroe st ,False,True,CRIMINAL DAMAGE,1003,109,3
2001,Restaurant,Jersey Mike's Subs,200 w monroe st ,False,False,CRIMINAL DAMAGE,1003,109,3
2001,Restaurant,Au Bon Pain,125 s wacker dr ,False,False,CRIMINAL DAMAGE,992,111,2
2001,Restaurant,Townhouse Restaurant & Wine Bar,111 s wacker dr ,False,False,CRIMINAL DAMAGE,992,111,2
2001,Restaurant,South Branch,100 s wacker dr ,False,False,CRIMINAL DAMAGE,992,111,2
2001,Restaurant,Petterino's,150 n dearborn st ,False,False,CRIMINAL DAMAGE,970,95,5
2001,Restaurant,Au Bon Pain Company,181 w madison st ,False,False,CRIMINAL DAMAGE,964,99,4
2001,Restaurant,Bacci Pizzeria,105 w madison st ,False,False,CRIMINAL DAMAGE,964,99,4
2001,Restaurant,Davino's Little Pompei,181 w madison st ,False,False,CRIMINAL DAMAGE,964,99,4
2001,Restaurant,Mezza,181 w madison st ,False,False,CRIMINAL DAMAGE,964,99,4
2001,Restaurant,Mac Kelly's Greens & Things,123 w madison st ,False,False,CRIMINAL DAMAGE,964,99,4
2001,Restaurant,Roma Pizza,105 w madison st ,False,False,CRIMINAL DAMAGE,964,99,4
2001,Restaurant,Marquette Inn No 4 Restaurant,135 w madison st ,False,False,CRIMINAL DAMAGE,964,99,4
2001,Restaurant,Banh Mi Express Sandwiches,105 w madison st ,False,False,CRIMINAL DAMAGE,964,99,4
2001,Restaurant,Harry's Sandwich Shop,336 s dearborn st ,False,False,CRIMINAL DAMAGE,963,104,1
2001,Restaurant,Pizzahut Express,225 s canal st ,False,False,CRIMINAL DAMAGE,961,116,2
2001,Restaurant,Burrito Beach,210 s canal st ,False,False,CRIMINAL DAMAGE,961,116,2
2001,Restaurant,Robinson's No 1 Ribs,225 s canal st ,False,False,CRIMINAL DAMAGE,961,116,2
